iter	Passed	Remaining
443	1233	1544
444	1234	1540
445	1237	1537
446	1239	1533
447	1242	1530
448	1245	1527
449	1246	1523
450	1249	1520
451	1251	1517
452	1253	1514
453	1256	1510
454	1258	1507
455	1260	1503
456	1263	1501
457	1266	1498
458	1267	1494
459	1270	1491
460	1273	1488
461	1275	1485
462	1277	1481
463	1280	1479
464	1283	1476
465	1285	1472
466	1287	1468
467	1289	1466
468	1292	1463
469	1295	1460
470	1298	1458
471	1302	1456
472	1304	1453
473	1306	1449
474	1309	1447
475	1311	1443
476	1313	1439
477	1315	1436
478	1317	1432
479	1319	1429
480	1321	1426
481	1323	1422
482	1325	1418
483	1328	1415
484	1330	1412
485	1332	1409
486	1334	1405
487	1336	1402
488	1339	1399
489	1341	1395
490	1343	1392
491	1346	1390
492	1349	1387
493	1353	1385
494	1355	1382
495	1357	1379
496	1361	1377
497	1363	1374
498	1365	1371
499	1368	1368
500	1370	1364
501	1372	1361
502	1374	1358
503	1376	1354
504	1379	1351
505	1381	1348
506	1382	1344
507	1385	1341
508	1388	1339
509	1391	1336
510	1393	1333
511	1396	1330
512	1398	1327
513	1402	1325
514	1405	1323
515	1408	1320
516	1411	1318
517	1413	1315
518	1416	1312
519	1418	1309
520	1421	1306
521	1424	1304
522	1425	1300
523	1428	1297
524	1431	1295
525	1434	1292
526	1437	1289
527	1440	1287
528	1443	1284
529	1446	1282
530	1448	1279
531	1451	1276
532	1454	1274
533	1457	1271
534	1459	1268
535	1461	1265
536	1463	1261
537	1464	1257
538	1467	1255
539	1469	1251
540	1471	1248
541	1474	1246
542	1477	1243
543	1479	1240
544	1482	1237
545	1484	1234
546	1486	1231
547	1489	1228
548	1490	1224
549	1493	1221
550	1495	1218
551	1497	1215
552	1501	1213
553	1503	1210
554	1506	1207
555	1508	1204
556	1511	1202
557	1513	1199
558	1516	1196
559	1518	1193
560	1521	1190
561	1524	1188
562	1527	1185
563	1529	1182
564	1532	1179
565	1534	1176
566	1536	1173
567	1539	1171
568	1542	1168
569	1545	1165
570	1547	1162
571	1549	1159
572	1551	1156
573	1553	1153
574	1555	1150
575	1558	1146
576	1560	1143
577	1562	1140
578	1564	1137
579	1566	1134
580	1569	1131
581	1571	1128
582	1573	1125
583	1575	1122
584	1577	1118
585	1579	1115
586	1581	1112
587	1584	1109
588	1585	1106
589	1587	1103
590	1589	1100
591	1591	1097
592	1593	1093
593	1595	1090
594	1597	1087
595	1599	1084
596	1602	1081
597	1605	1079
598	1608	1076
599	1611	1074
600	1613	1071
601	1616	1069
602	1620	1066
603	1622	1064
604	1625	1061
605	1628	1058
606	1629	1055
607	1633	1052
608	1636	1050
609	1639	1047
610	1640	1044
611	1643	1041
612	1645	1038
613	1648	1036
614	1651	1033
615	1653	1031
616	1655	1027
617	1658	1025
618	1660	1021
619	1663	1019
620	1665	1016
621	1667	1013
622	1670	1010
623	1672	1007
624	1675	1005
625	1677	1002
626	1679	999
627	1682	996
628	1685	993
629	1687	991
630	1690	988
631	1693	985
